U_Id,UserId,UserPassword,email
1,mayviolet,magnumMo,mayviolet@bleh.com
2,Pwatcher,johnsadiq,iloveyoujohn@why.leave
3,nat20simp,johnlenon,obama@obama.trump
4,ninja,ligma,fortnite@battle.pass
5,Lnerd,dreamSMP,cringe@tarnished.maidenless
6,bob,builder,building@stuff.why
7,jungkok,eirb,kpop@drama.weeb
8,dwane,tarimana,drive@power.devour
9,speed,ben,lovegod@no.toto
10,tom,jerry,outdated@show.cancelled
11,honda,ford,ferrarie@tesla.mid
12,drstone,kidneystone,pain@cry.sadge
13,ilove,yourmom,stepdad@outlook.com
